,state,district,category,type,date,crimes
92,Johor,Batu Pahat,property,theft_vehicle_motorcycle,2020,121
93,Johor,Batu Pahat,property,theft_vehicle_motorcycle,2021,59
94,Johor,Batu Pahat,property,theft_vehicle_motorcycle,2022,76
95,Johor,Batu Pahat,property,theft_vehicle_motorcycle,2023,68
96,Johor,Iskandar Puteri,assault,causing_injury,2016,0
97,Johor,Iskandar Puteri,assault,causing_injury,2017,54
98,Johor,Iskandar Puteri,assault,causing_injury,2018,61
99,Johor,Iskandar Puteri,assault,causing_injury,2019,46
100,Johor,Iskandar Puteri,assault,causing_injury,2020,23
101,Johor,Iskandar Puteri,assault,causing_injury,2021,20
102,Johor,Iskandar Puteri,assault,causing_injury,2022,30
103,Johor,Iskandar Puteri,assault,causing_injury,2023,45
104,Johor,Iskandar Puteri,assault,murder,2016,0
105,Johor,Iskandar Puteri,assault,murder,2017,4
106,Johor,Iskandar Puteri,assault,murder,2018,4
107,Johor,Iskandar Puteri,assault,murder,2019,4
108,Johor,Iskandar Puteri,assault,murder,2020,3
109,Johor,Iskandar Puteri,assault,murder,2021,2
110,Johor,Iskandar Puteri,assault,murder,2022,3
111,Johor,Iskandar Puteri,assault,murder,2023,0
112,Johor,Iskandar Puteri,assault,rape,2016,0
113,Johor,Iskandar Puteri,assault,rape,2017,9
114,Johor,Iskandar Puteri,assault,rape,2018,13
115,Johor,Iskandar Puteri,assault,rape,2019,16
116,Johor,Iskandar Puteri,assault,rape,2020,9
117,Johor,Iskandar Puteri,assault,rape,2021,4
118,Johor,Iskandar Puteri,assault,rape,2022,9
119,Johor,Iskandar Puteri,assault,rape,2023,7
120,Johor,Iskandar Puteri,assault,robbery_gang_armed,2016,0
121,Johor,Iskandar Puteri,assault,robbery_gang_armed,2017,0
122,Johor,Iskandar Puteri,assault,robbery_gang_armed,2018,0
123,Johor,Iskandar Puteri,assault,robbery_gang_armed,2019,0
124,Johor,Iskandar Puteri,assault,robbery_gang_armed,2020,0
125,Johor,Iskandar Puteri,assault,robbery_gang_armed,2021,1
126,Johor,Iskandar Puteri,assault,robbery_gang_armed,2022,0
127,Johor,Iskandar Puteri,assault,robbery_gang_armed,2023,0
128,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2016,0
129,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2017,102
130,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2018,53
131,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2019,74
132,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2020,17
133,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2021,31
134,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2022,21
135,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2023,52
136,Johor,Iskandar Puteri,assault,robbery_solo_armed,2016,0
137,Johor,Iskandar Puteri,assault,robbery_solo_armed,2017,0
138,Johor,Iskandar Puteri,assault,robbery_solo_armed,2018,0
139,Johor,Iskandar Puteri,assault,robbery_solo_armed,2019,0
140,Johor,Iskandar Puteri,assault,robbery_solo_armed,2020,0
141,Johor,Iskandar Puteri,assault,robbery_solo_armed,2021,0
142,Johor,Iskandar Puteri,assault,robbery_solo_armed,2022,0
143,Johor,Iskandar Puteri,assault,robbery_solo_armed,2023,0
144,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2016,0
145,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2017,26
146,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2018,18
147,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2019,30
148,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2020,44
149,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2021,10
